keyword;search_volume;keyword_difficulty;cpc_eur;competition;competition_level;low_top_of_page_bid;high_top_of_page_bid;search_intent;cluster;words_count;trend_quarterly_pct;trend_yearly_pct;traffic_value_eur_month;opportunity_score;variant_group;is_primary
was macht ein heilpraktiker;1600;;1.71;0.07;LOW;0.24;1.66;informational;Informational / Erklärung;4;-19;-19;2736.0;4.9;was macht heilpraktiker;0
gebührenordnung für heilpraktiker;1300;15;0.05;0.07;LOW;0.02;0.06;informational;Praxisbetrieb & Kosten;3;;-38;65.0;2.01;gebührenordnung für heilpraktiker;1
gebührenordnung heilpraktiker;1300;12;0.05;0.07;LOW;0.02;0.06;informational;Praxisbetrieb & Kosten;2;;-38;65.0;2.26;gebührenordnung heilpraktiker;1
heilpraktiker gebührenordnung;1300;13;0.05;0.07;LOW;0.02;0.06;informational;Praxisbetrieb & Kosten;2;;-38;65.0;2.17;gebührenordnung heilpraktiker;0
gebührenordnung der heilpraktiker;1300;7;0.05;0.07;LOW;0.02;0.06;informational;Praxisbetrieb & Kosten;3;;-38;65.0;2.85;gebührenordnung heilpraktiker;0
gebührenverordnung für heilpraktiker;1300;15;0.05;0.07;LOW;0.02;0.06;commercial;Praxisbetrieb & Kosten;3;;-38;65.0;2.01;gebührenverordnung für heilpraktiker;1
gebührenverordnung heilpraktiker;1300;6;0.05;0.07;LOW;0.02;0.06;informational;Praxisbetrieb & Kosten;2;;-38;65.0;3.01;gebührenverordnung heilpraktiker;1
heilpraktiker leipzig;1300;25;1.24;0.23;LOW;0.45;1.61;navigational;Lokale Suche;2;-45;-32;1612.0;3.12;heilpraktiker leipzig;1
leipzig heilpraktiker;1300;25;1.24;0.23;LOW;0.45;1.61;navigational;Lokale Suche;2;-45;-32;1612.0;3.12;heilpraktiker leipzig;0
akademie naturheilkunde;1000;14;2.3;0.21;LOW;1.04;3.15;informational;Ausbildung & Prüfung;2;;-23;2300.0;5.67;akademie naturheilkunde;1
naturheilkunde akademie;1000;28;2.3;0.21;LOW;1.04;3.15;informational;Ausbildung & Prüfung;2;;-23;2300.0;3.69;akademie naturheilkunde;0
akademie der naturheilkunde;1000;14;2.3;0.21;LOW;1.04;3.15;informational;Ausbildung & Prüfung;3;;-23;2300.0;5.67;akademie naturheilkunde;0
ausbildung heilpraktiker online;1000;9;9.87;0.88;HIGH;2.77;8.04;informational;Ausbildung & Prüfung;3;-12;-12;9870.0;23.12;ausbildung heilpraktiker online;1
online-ausbildung heilpraktiker;1000;9;9.87;0.88;HIGH;2.77;8.04;informational;Ausbildung & Prüfung;2;-12;-12;9870.0;23.12;ausbildung heilpraktiker online;0
heilpraktiker online ausbildung;1000;9;9.87;0.88;HIGH;2.77;8.04;informational;Ausbildung & Prüfung;3;-12;-12;9870.0;23.12;ausbildung heilpraktiker online;0
online heilpraktiker-ausbildung;1000;9;9.87;0.88;HIGH;2.77;8.04;commercial;Ausbildung & Prüfung;2;-12;-12;9870.0;23.12;ausbildung heilpraktiker online;0
online heilpraktiker ausbildung;1000;9;9.87;0.88;HIGH;2.77;8.04;informational;Ausbildung & Prüfung;3;-12;-12;9870.0;23.12;ausbildung heilpraktiker online;0
online ausbildung heilpraktiker;1000;9;9.87;0.88;HIGH;2.77;8.04;informational;Ausbildung & Prüfung;3;-12;-12;9870.0;23.12;ausbildung heilpraktiker online;0
heilpraktiker online-ausbildung;1000;9;9.87;0.88;HIGH;2.77;8.04;informational;Ausbildung & Prüfung;2;-12;-12;9870.0;23.12;ausbildung heilpraktiker online;0
heilpraktiker ausbildung online;1000;9;9.87;0.88;HIGH;2.77;8.04;informational;Ausbildung & Prüfung;3;-12;-12;9870.0;23.12;ausbildung heilpraktiker online;0
heilpraktiker als physiotherapeut;1000;;1.69;0.14;LOW;0.48;1.93;informational;Sektoraler Heilpraktiker;3;-23;;1690.0;3.75;heilpraktiker als physiotherapeut;1
heilpraktiker für osteopathen;1000;8;1;0.12;LOW;0.44;1.37;informational;Methoden & Therapien;3;-18;-28;1000;4.47;heilpraktiker für osteopathen;1
heilpraktiker jobs;1000;;0.42;0.2;LOW;0.08;0.74;informational;Jobs & Gehalt;;-18;-28;420.0;1.98;heilpraktiker jobs;1
jobs als heilpraktiker;1000;;0.42;0.2;LOW;0.08;0.74;informational;Jobs & Gehalt;3;-18;-28;420.0;1.98;heilpraktiker jobs;0
heilpraktiker köln;1000;17;2.36;0.31;LOW;0.56;2.62;navigational;Lokale Suche;2;-28;-28;2360.0;5.18;heilpraktiker köln;1
köln heilpraktiker;1000;15;2.36;0.31;LOW;0.56;2.62;navigational;Lokale Suche;2;-28;-28;2360.0;5.56;heilpraktiker köln;0
heilpraktiker nürnberg;1000;14;2.4;0.26;LOW;0.89;2.48;navigational;Lokale Suche;2;;-28;2400.0;5.84;heilpraktiker nürnberg;1
nürnberg heilpraktiker;1000;9;2.4;0.26;LOW;0.89;2.48;navigational;Lokale Suche;2;;-28;2400.0;7.23;heilpraktiker nürnberg;0
job für heilpraktiker;1000;;0.42;0.2;LOW;0.08;0.74;informational;Jobs & Gehalt;3;-18;-28;420.0;1.98;job für heilpraktiker;1
job heilpraktiker;1000;;0.42;0.2;LOW;0.08;0.74;informational;Jobs & Gehalt;2;-18;-28;420.0;1.98;job heilpraktiker;1
job als heilpraktiker;1000;;0.42;0.2;LOW;0.08;0.74;transactional;Jobs & Gehalt;3;-18;-28;420.0;1.98;job heilpraktiker;0
jobs für heilpraktiker;1000;;0.42;0.2;LOW;0.08;0.74;informational;Jobs & Gehalt;3;-18;-28;420.0;1.98;jobs für heilpraktiker;1
bremen heilpraktiker;880;2;2.13;0.28;LOW;0.62;3.4;informational;Lokale Suche;2;-33;-45;1874.4;9.31;bremen heilpraktiker;1
heilpraktiker bremen;880;6;2.13;0.28;LOW;0.62;3.4;informational;Lokale Suche;2;-33;-45;1874.4;7.24;bremen heilpraktiker;0
dortmund heilpraktiker;880;1;0.91;0.27;LOW;0.4;2.85;navigational;Lokale Suche;2;-33;-33;800.8;6.12;dortmund heilpraktiker;1
heilpraktiker dortmund;880;1;0.91;0.27;LOW;0.4;2.85;informational;Lokale Suche;2;-33;-33;800.8;6.12;dortmund heilpraktiker;0
frankfurt heilpraktiker;880;12;1.48;0.21;LOW;0.59;2.86;navigational;Lokale Suche;2;-28;-28;1302.4;4.3;frankfurt heilpraktiker;1
heilpraktiker frankfurt;880;12;1.48;0.21;LOW;0.59;2.86;navigational;Lokale Suche;2;-28;-28;1302.4;4.3;frankfurt heilpraktiker;0
heilpraktiker englisch;880;;0.0;0;LOW;;;informational;Informational / Erklärung;2;-18;-18;0.0;1.3;heilpraktiker englisch;1
heilpraktiker auf englisch;880;;0.0;0;LOW;;;informational;Informational / Erklärung;3;-18;-18;0.0;1.3;heilpraktiker englisch;0
heilpraktiker hamburg;880;38;1.78;0.37;MEDIUM;0.65;1.89;navigational;Lokale Suche;2;;-18;1566.4;2.31;heilpraktiker hamburg;1
heilpraktiker kosten;880;7;0.61;0.03;LOW;0.37;1.91;informational;Praxisbetrieb & Kosten;2;-18;-28;536.8;3.53;heilpraktiker kosten;1
heilpraktiker-kosten;880;6;0.61;0.03;LOW;0.37;1.91;commercial;Praxisbetrieb & Kosten;1;-18;-28;536.8;3.72;heilpraktiker kosten;0
kosten heilpraktiker;880;6;0.61;0.03;LOW;0.37;1.91;informational;Praxisbetrieb & Kosten;2;-18;-28;536.8;3.72;heilpraktiker kosten;0
heilpraktiker prüfung;880;45;1.95;0.66;MEDIUM;0.37;1.96;informational;Ausbildung & Prüfung;;;;1716.0;2.15;heilpraktiker prüfung;1
heilpraktiker prüfungen;880;;1.95;0.66;MEDIUM;0.37;1.96;informational;Ausbildung & Prüfung;2;;;1716.0;3.84;heilpraktiker prüfung;0
heilpraktiker-prüfung;880;22;1.95;0.66;MEDIUM;0.37;1.96;informational;Ausbildung & Prüfung;1;;;1716.0;3.61;heilpraktiker prüfung;0
heilpraktiker sektoral physiotherapie;880;;2.28;0.21;LOW;0.42;2.07;informational;Sektoraler Heilpraktiker;3;;69;2006.4;4.27;heilpraktiker sektoral physiotherapie;1
heilpraktiker werden;880;39;5.96;0.78;HIGH;1.3;4.44;informational;Ausbildung & Prüfung;2;-18;-28;5244.8;5.68;heilpraktiker werden;1
heilpraktiker wuppertal;880;9;0.56;0.2;LOW;0.35;1.54;navigational;Lokale Suche;2;-70;-34;492.8;3.09;heilpraktiker wuppertal;1
wuppertal heilpraktiker;880;9;0.56;0.2;LOW;0.35;1.54;navigational;Lokale Suche;2;-70;-34;492.8;3.09;heilpraktiker wuppertal;0
kosten beim heilpraktiker;880;7;0.61;0.03;LOW;0.37;1.91;informational;Praxisbetrieb & Kosten;3;-18;-28;536.8;3.53;kosten beim heilpraktiker;1
kosten für heilpraktiker;880;7;0.61;0.03;LOW;0.37;1.91;informational;Praxisbetrieb & Kosten;3;-18;-28;536.8;3.53;kosten für heilpraktiker;1
arzt für naturheilkunde;720;33;0.87;0.02;LOW;0.49;1.52;informational;Ärzte, Kliniken & Schulmedizin;3;644;303;626.4;1.55;arzt für naturheilkunde;1
arzt naturheilkunde;720;7;0.87;0.02;LOW;0.49;1.52;informational;Ärzte, Kliniken & Schulmedizin;2;644;303;626.4;3.67;arzt naturheilkunde;1
naturheilkunde arzt;720;12;0.87;0.02;LOW;0.49;1.52;informational;Ärzte, Kliniken & Schulmedizin;2;644;303;626.4;2.91;arzt naturheilkunde;0
ausbildung heilpraktiker dauer;720;16;2.33;0.63;MEDIUM;0.66;1.91;informational;Ausbildung & Prüfung;3;-18;-18;1677.6;4.43;ausbildung heilpraktiker dauer;1
heilpraktiker ausbildung dauer;720;16;2.33;0.63;MEDIUM;0.66;1.91;informational;Ausbildung & Prüfung;3;-18;-18;1677.6;4.43;ausbildung heilpraktiker dauer;0
ausbildung zum heilpraktiker dauer;720;16;2.33;0.63;MEDIUM;0.66;1.91;informational;Ausbildung & Prüfung;4;-18;-18;1677.6;4.43;ausbildung heilpraktiker dauer;0
bielefeld heilpraktiker;720;1;1.57;0.15;LOW;0.36;2.03;informational;Lokale Suche;2;-33;-33;1130.4;7.37;bielefeld heilpraktiker;1
heilpraktiker bielefeld;720;1;1.57;0.15;LOW;0.36;2.03;informational;Lokale Suche;2;-33;-33;1130.4;7.37;bielefeld heilpraktiker;0
essen heilpraktiker;720;19;0.63;0.19;LOW;0.56;3.57;informational;Lokale Suche;2;-18;-18;453.6;1.96;essen heilpraktiker;1
heilpraktiker essen;720;19;0.63;0.19;LOW;0.56;3.57;informational;Lokale Suche;2;-18;-18;453.6;1.96;essen heilpraktiker;0
essen klinik für naturheilkunde;720;3;1.1;0.02;LOW;;;navigational;Ärzte, Kliniken & Schulmedizin;4;-18;-18;792.0;5.22;essen klinik für naturheilkunde;1
klinik für naturheilkunde essen;720;9;1.1;0.02;LOW;;;navigational;Ärzte, Kliniken & Schulmedizin;4;-18;-18;792.0;3.73;essen klinik für naturheilkunde;0
essen naturheilkunde klinik;720;5;1.1;0.02;LOW;;;informational;Ärzte, Kliniken & Schulmedizin;3;-18;-18;792.0;4.61;essen naturheilkunde klinik;1
klinik naturheilkunde essen;720;11;1.1;0.02;LOW;;;navigational;Ärzte, Kliniken & Schulmedizin;3;-18;-18;792.0;3.4;essen naturheilkunde klinik;0
klinik essen naturheilkunde;720;5;1.1;0.02;LOW;;;navigational;Ärzte, Kliniken & Schulmedizin;3;-18;-18;792.0;4.61;essen naturheilkunde klinik;0
naturheilkunde klinik essen;720;1;1.1;0.02;LOW;;;navigational;Ärzte, Kliniken & Schulmedizin;3;-18;-18;792.0;6.02;essen naturheilkunde klinik;0
naturheilkunde essen klinik;720;10;1.1;0.02;LOW;;;navigational;Ärzte, Kliniken & Schulmedizin;3;-18;-18;792.0;3.56;essen naturheilkunde klinik;0
gehalt heilpraktiker;720;;1.13;0.03;LOW;0.13;2.29;informational;Jobs & Gehalt;2;-19;-45;813.6;2.48;gehalt heilpraktiker;1
heilpraktiker gehalt;720;;1.13;0.03;LOW;0.13;2.29;informational;Jobs & Gehalt;;-19;-45;813.6;2.48;gehalt heilpraktiker;0
heilpraktiker für hunde;720;12;2.66;0.3;LOW;0.73;3.53;informational;Tierheilkunde;3;;-52;1915.2;5.69;heilpraktiker für hunde;1
heilpraktiker hannover;720;14;1.5;0.34;MEDIUM;0.52;1.73;navigational;Lokale Suche;2;-18;-33;1080.0;3.59;heilpraktiker hannover;1
heilpraktiker hund;720;37;2.66;0.3;LOW;0.73;3.53;informational;Tierheilkunde;2;;-52;1915.2;2.78;heilpraktiker hund;1
heilpraktiker hunde;720;37;2.66;0.3;LOW;0.73;3.53;informational;Tierheilkunde;2;;-52;1915.2;2.78;heilpraktiker hunde;1
heilpraktiker münster;720;;0.77;0.19;LOW;0.39;1.34;navigational;Lokale Suche;2;-18;;554.4;2.06;heilpraktiker münster;1
münster heilpraktiker;720;;0.77;0.19;LOW;0.39;1.34;navigational;Lokale Suche;2;-18;;554.4;2.06;heilpraktiker münster;0
heilpraktiker psychotherapie prüfung;720;6;1.92;1;HIGH;0.83;2.44;informational;Ausbildung & Prüfung;3;-18;;1382.4;6.05;heilpraktiker psychotherapie prüfung;1
heilpraktiker psychotherapie prüfungen;720;1;1.92;1;HIGH;0.83;2.44;informational;Ausbildung & Prüfung;3;-18;;1382.4;8.37;heilpraktiker psychotherapie prüfung;0
prüfung heilpraktiker psychotherapie;720;32;1.92;1;HIGH;0.83;2.44;informational;Ausbildung & Prüfung;3;-18;;1382.4;2.47;heilpraktiker psychotherapie prüfung;0
naturheilkunde bei tiere;720;;0.6;0.18;LOW;0.65;1.23;informational;Tierheilkunde;3;-18;-33;432.0;1.86;naturheilkunde bei tiere;1
naturheilkunde fuer tiere;720;;0.6;0.18;LOW;0.65;1.23;informational;Tierheilkunde;3;-18;-33;432.0;1.86;naturheilkunde bei tiere;0
naturheilkunde für tiere;720;;0.6;0.18;LOW;0.65;1.23;informational;Tierheilkunde;3;-18;-33;432.0;1.86;naturheilkunde für tiere;1
naturheilkunde ärzte;720;17;0.87;0.02;LOW;0.49;1.52;informational;Ärzte, Kliniken & Schulmedizin;2;644;303;626.4;2.4;naturheilkunde ärzte;1
ärzte mit naturheilkunde;720;7;0.87;0.02;LOW;0.49;1.52;commercial;Ärzte, Kliniken & Schulmedizin;3;644;303;626.4;3.67;naturheilkunde ärzte;0
ärzte naturheilkunde;720;14;0.87;0.02;LOW;0.49;1.52;informational;Ärzte, Kliniken & Schulmedizin;2;644;303;626.4;2.68;naturheilkunde ärzte;0
prüfung für heilpraktiker psychotherapie;720;10;1.92;1;HIGH;0.83;2.44;informational;Ausbildung & Prüfung;4;-18;;1382.4;4.95;prüfung für heilpraktiker psychotherapie;1
prüfung zum heilpraktiker für psychotherapie;720;32;1.92;1;HIGH;0.83;2.44;informational;Ausbildung & Prüfung;5;-18;;1382.4;2.47;prüfung für heilpraktiker psychotherapie;0
psychologischer heilpraktiker;720;12;3.97;0.69;HIGH;1.1;3.39;informational;Heilpraktiker Psychotherapie;2;-18;-18;2858.4;7.72;psychologischer heilpraktiker;1
was ist ein heilpraktiker;720;19;1.69;0.03;LOW;0.43;1.69;informational;Informational / Erklärung;4;;;1216.8;3.24;was ist ein heilpraktiker;1
was sind heilpraktiker;720;9;1.69;0.03;LOW;0.43;1.69;informational;Marken- & Praxisnamen;3;;;1216.8;4.78;was sind heilpraktiker;1
ärzte für naturheilkunde;720;23;0.87;0.02;LOW;0.49;1.52;informational;Ärzte, Kliniken & Schulmedizin;3;644;303;626.4;1.99;ärzte für naturheilkunde;1
ärztin für naturheilkunde;720;23;0.87;0.02;LOW;0.49;1.52;informational;Ärzte, Kliniken & Schulmedizin;3;644;303;626.4;1.99;ärztin für naturheilkunde;1
ärztin naturheilkunde;720;23;0.87;0.02;LOW;0.49;1.52;informational;Ärzte, Kliniken & Schulmedizin;2;644;303;626.4;1.99;ärztin naturheilkunde;1
ausbildung heilpraktiker berlin;590;35;4.56;0.78;HIGH;2.02;4.2;informational;Ausbildung & Prüfung;3;-19;-46;2690.4;3.95;ausbildung heilpraktiker berlin;1
berlin heilpraktiker ausbildung;590;35;4.56;0.78;HIGH;2.02;4.2;informational;Ausbildung & Prüfung;3;-19;-46;2690.4;3.95;ausbildung heilpraktiker berlin;0
heilpraktiker berlin ausbildung;590;35;4.56;0.78;HIGH;2.02;4.2;informational;Ausbildung & Prüfung;3;-19;-46;2690.4;3.95;ausbildung heilpraktiker berlin;0
heilpraktiker ausbildung berlin;590;18;4.56;0.78;HIGH;2.02;4.2;informational;Ausbildung & Prüfung;3;-19;-46;2690.4;6.19;ausbildung heilpraktiker berlin;0
ausbildung naturheilkunde;590;45;3.33;0.81;HIGH;1.19;3.28;informational;Ausbildung & Prüfung;2;;-33;1964.7;2.54;ausbildung naturheilkunde;1
ausbildungen naturheilkunde;590;39;3.33;0.81;HIGH;1.19;3.28;informational;Ausbildung & Prüfung;2;;-33;1964.7;2.84;ausbildung naturheilkunde;0
naturheilkunde ausbildung;590;46;3.33;0.81;HIGH;1.19;3.28;informational;Ausbildung & Prüfung;2;;-33;1964.7;2.49;ausbildung naturheilkunde;0
gebührenverzeichnis für heilpraktiker;590;8;0.05;0.04;LOW;0.02;0.08;informational;Praxisbetrieb & Kosten;3;;-34;29.5;1.75;gebührenverzeichnis für heilpraktiker;1
gebührenverzeichnis heilpraktiker;590;12;0.05;0.04;LOW;0.02;0.08;informational;Praxisbetrieb & Kosten;2;;-34;29.5;1.46;gebührenverzeichnis heilpraktiker;1
heilpraktiker braunschweig;590;8;1.21;0.27;LOW;0.44;4.12;informational;Lokale Suche;2;-19;-46;713.9;3.69;heilpraktiker braunschweig;1
heilpraktiker prüfungsfragen;590;;0.65;1;HIGH;0.1;1.11;informational;Ausbildung & Prüfung;2;-19;-19;383.5;1.72;heilpraktiker prüfungsfragen;1
prüfungsfragen heilpraktiker;590;;0.65;1;HIGH;0.1;1.11;informational;Ausbildung & Prüfung;2;-19;-19;383.5;1.72;heilpraktiker prüfungsfragen;0
